Speed Racer,Movie,2008,Action,3
Venom,Movie,2018,Action,2
Journey to the center of the Earth,Movie,2008,Adventure,3
Aladdin,Movie,1992,Children,5
Kung Fu Panda,Movie,2008,Children,3
Tron Legacy,Movie,2010,Action,3
Star Wars,Series,1977,Adventure,4
Harry Potter,Series,2001,Adventure,5
Hunger Games,Series,2012,Action,5
Pirates of the Carribbean,Series,2003,Adventure,4
